SA3_CODE16,Year,WB,rsWB
30805,2012,0.042766264159819926,0.8035714285714286
30901,2012,0.04998109230896599,0.8273809523809523
30902,2012,0.0653549784286546,0.8809523809523809
30903,2012,0.05138992445707259,0.8422619047619048
30904,2012,0.0221428674841332,0.7053571428571429
30905,2012,0.0012243510417708373,0.1130952380952381
30906,2012,0.03623665253728309,0.7767857142857143
30907,2012,0.022808454815247244,0.7113095238095238
30908,2012,0.1656832758985609,0.9285714285714286
30909,2012,0.050644715670196905,0.8392857142857143
30910,2012,0.16292040190681153,0.9255952380952381
31001,2012,0.24390239191732155,0.9523809523809523
31002,2012,0.053153270539320056,0.8482142857142857
31003,2012,0.26231104585792986,0.9583333333333334
31004,2012,0.1613582300703519,0.9226190476190477
31101,2012,0.008914624412992338,0.43154761904761907
31102,2012,0.06139325892396708,0.8630952380952381
31103,2012,0.0074849743449201915,0.36904761904761907
31104,2012,0.004201364849700141,0.25297619047619047
31105,2012,0.062015252096178815,0.8720238095238095
31106,2012,0.003107239322525545,0.1875
31201,2012,0.016876065016889815,0.6279761904761905
31202,2012,0.014753836763489857,0.5833333333333334
31203,2012,0.009916655977764841,0.4791666666666667
31301,2012,0.028538606243109166,0.7529761904761905
31302,2012,0.01137598078685766,0.5208333333333334
31303,2012,0.04529804525186181,0.8125
31304,2012,0.003450019692867394,0.21428571428571427
31305,2012,0.03945505690340503,0.7946428571428571
31401,2012,0.08089683426127295,0.8958333333333334
31402,2012,0.039452305199707376,0.7916666666666666
31403,2012,0.06196889031204875,0.8690476190476191
31501,2012,0.015489579804779077,0.6041666666666666
31502,2012,0.004521884017850071,0.2708333333333333
31503,2012,0.007543247334106492,0.375
31601,2012,0.0152567215606768,0.5982142857142857
31602,2012,0.06661376766088241,0.8839285714285714
31603,2012,0.021866232238232503,0.7023809523809523
31605,2012,0.0034376894832740933,0.20833333333333334
31606,2012,0.015233018077665444,0.5952380952380952
31607,2012,0.005529295110473483,0.2976190476190476
31608,2012,0.007298956457166465,0.3601190476190476
31701,2012,0.002517988618920103,0.1636904761904762
31801,2012,0.00924306669336123,0.44642857142857145
31802,2012,0.08818139173901794,0.8988095238095238
31901,2012,0.006065065945161876,0.3125
31902,2012,0.00840114158132111,0.41369047619047616
31903,2012,0.004781726164063684,0.2767857142857143
31904,2012,0.009916896731454117,0.48214285714285715
31905,2012,0.011775027186357123,0.5327380952380952
40101,2012,0,0.002976190476190476
40102,2012,0.01000933676074437,0.4851190476190476
40103,2012,0,0.002976190476190476
40104,2012,0.0024613547674805056,0.15476190476190477
40105,2012,2.3908579099357453e-4,0.047619047619047616
40106,2012,0,0.002976190476190476
40107,2012,0,0.002976190476190476
40201,2012,5.15042175885288e-4,0.07142857142857142
40202,2012,0.026480270764575074,0.7351190476190477
40203,2012,1.483607008883802e-4,0.041666666666666664
40204,2012,0.13003502732462624,0.9166666666666666
40205,2012,0.04172833448415172,0.7976190476190477
40301,2012,0,0.002976190476190476
40302,2012,0.0014001854565468684,0.125
40303,2012,7.623036275397585e-4,0.08333333333333333
40304,2012,0.01834827424763689,0.6577380952380952
40401,2012,0.014997022012052587,0.5863095238095238
40402,2012,0.21093485223622782,0.9464285714285714
40403,2012,0.0015263452229401567,0.13392857142857142
40501,2012,0.01247473890825819,0.5505952380952381
40502,2012,0.0032169461324527975,0.19642857142857142
40503,2012,0.009142700929457815,0.44047619047619047
40504,2012,0.008639548645860667,0.4226190476190476
40601,2012,0.02121557540933305,0.6904761904761905
40602,2012,0.029970483017643348,0.7619047619047619
40701,2012,0.006553563648365607,0.33630952380952384
40702,2012,0.02150862292263339,0.6964285714285714
40703,2012,0.48715958622256217,0.9732142857142857
50101,2012,0.01708679653944579,0.6369047619047619
50102,2012,0.01967520629787708,0.6755952380952381
50103,2012,0.008564313357813247,0.41964285714285715
50201,2012,0.09827646690160688,0.9107142857142857
50301,2012,0.0078063422545121535,0.3869047619047619
50302,2012,0.20577577140282943,0.9404761904761905
50401,2012,0.3649728981801958,0.9642857142857143
