SA4_CODE16,Year,NV,rsNV,INT,rsINT,HOSP,rsHOSP,GS,rsGS,VI,rsVI
101,2011,5.394446973729202,0.2840909090909091,NA,NA,1.5276791474934206,0.7727272727272727,NA,NA,192.46725381450892,0.6477272727272727
102,2011,7.259226183670612,0.625,NA,NA,0.1816298948412153,0.5795454545454546,NA,NA,218.75842518276642,0.875
103,2011,6.68690176724826,0.5454545454545454,NA,NA,91.1035887322087,0.9659090909090909,NA,NA,165.97108947869506,0.4090909090909091
104,2011,6.481047924609601,0.5,NA,NA,0.18299756285501076,0.5909090909090909,NA,NA,230.29281065199112,0.9545454545454546
105,2011,9.054153177234415,0.8409090909090909,NA,NA,0.2103872485317263,0.6136363636363636,NA,NA,128.68076854281958,0.045454545454545456
106,2011,5.177782048447452,0.20454545454545456,NA,NA,0.07173609265191781,0.20454545454545456,NA,NA,194.4260934746784,0.6818181818181818
107,2011,8.139793784261204,0.7386363636363636,NA,NA,13.964986854161115,0.8863636363636364,NA,NA,237.45864942338733,0.9772727272727273
108,2011,7.5340602516396435,0.6363636363636364,NA,NA,0.11129275034099363,0.375,NA,NA,223.68900044759116,0.9318181818181818
109,2011,7.134956419812022,0.5909090909090909,NA,NA,0.24756782218927553,0.6477272727272727,NA,NA,152.56788203829817,0.2840909090909091
110,2011,7.164010297220464,0.6022727272727273,NA,NA,0.15638653473983308,0.5340909090909091,NA,NA,160.23742707570398,0.3181818181818182
111,2011,8.490861077956794,0.8068181818181818,NA,NA,0.07285045692841108,0.2159090909090909,NA,NA,218.72238964504666,0.8636363636363636
112,2011,6.50137414538138,0.5113636363636364,NA,NA,0.11662513041117949,0.3977272727272727,NA,NA,227.84150406808567,0.9431818181818182
113,2011,6.716158292195605,0.5568181818181818,NA,NA,0.30204507497381544,0.6818181818181818,NA,NA,160.77704060077673,0.32954545454545453
114,2011,4.863088685357237,0.10227272727272728,NA,NA,1.1760905202111172,0.7613636363636364,NA,NA,222.9199641192401,0.9090909090909091
115,2011,2.927246275879545,0.011363636363636364,NA,NA,0.04120041344770218,0.10227272727272728,NA,NA,175.2151862125771,0.48863636363636365
116,2011,7.891884116533513,0.7045454545454546,NA,NA,2.228373983785956,0.7840909090909091,NA,NA,151.8805125052469,0.26136363636363635
117,2011,26.152432706499628,1,NA,NA,7.620319355022812,0.8522727272727273,NA,NA,198.7870356576485,0.7045454545454546
118,2011,17.0880481613207,0.9545454545454546,NA,NA,0.09139733696341386,0.29545454545454547,NA,NA,254.999998304579,1
119,2011,12.617337123326111,0.9204545454545454,NA,NA,0.03825247037553575,0.09090909090909091,NA,NA,130.3144745429357,0.06818181818181818
120,2011,13.862983824249259,0.9431818181818182,NA,NA,0.027280991433161348,0.056818181818181816,NA,NA,139.20626819133764,0.13636363636363635
121,2011,10.193472280192312,0.8636363636363636,NA,NA,0.15530199009071075,0.5113636363636364,NA,NA,202.66730013760656,0.7386363636363636
122,2011,6.782797919108534,0.5795454545454546,NA,NA,0.052625435163689775,0.125,NA,NA,213.16753243340392,0.8068181818181818
123,2011,6.320185161071441,0.45454545454545453,NA,NA,0.05300971545856687,0.14772727272727273,NA,NA,180.80850950876876,0.5340909090909091
124,2011,6.36550342881365,0.4772727272727273,NA,NA,44.67411606528658,0.9545454545454546,NA,NA,194.0186732080248,0.6590909090909091
125,2011,11.488402204247118,0.9090909090909091,NA,NA,2.657757844473769,0.7954545454545454,NA,NA,135.24775945572625,0.11363636363636363
126,2011,10.115910946703092,0.8522727272727273,NA,NA,0.0873389198681811,0.2727272727272727,NA,NA,162.1669627507528,0.36363636363636365
127,2011,7.978913035898409,0.7272727272727273,NA,NA,0.15908400091782962,0.5568181818181818,NA,NA,154.9439492718927,0.29545454545454547
128,2011,5.185429280018556,0.2159090909090909,NA,NA,0.10168573341104854,0.32954545454545453,NA,NA,214.99090636010266,0.8295454545454546
201,2011,4.905075067782446,0.11363636363636363,NA,NA,0.12425134960165063,0.4318181818181818,NA,NA,182.41210309196927,0.5454545454545454
202,2011,5.366978948613482,0.2727272727272727,NA,NA,0.07462724435936073,0.22727272727272727,NA,NA,166.48253794511163,0.42045454545454547
203,2011,5.491003827216755,0.3068181818181818,NA,NA,0.08774657250806375,0.2840909090909091,NA,NA,196.33754008611044,0.6931818181818182
204,2011,4.944019972609129,0.13636363636363635,NA,NA,0.08426138752958973,0.23863636363636365,NA,NA,191.51945957993019,0.625
205,2011,5.174204866905381,0.19318181818181818,NA,NA,4.068133863097624,0.8181818181818182,NA,NA,221.47022348162778,0.8977272727272727
206,2011,19.748778084711333,0.9659090909090909,NA,NA,0.10598112382815086,0.3409090909090909,NA,NA,186.65785032753053,0.5795454545454546
207,2011,7.571705409238392,0.6477272727272727,NA,NA,0.052861548695001155,0.13636363636363635,NA,NA,149.19667028344196,0.17045454545454544
208,2011,7.928747348723467,0.7159090909090909,NA,NA,0.6114673506357658,0.7386363636363636,NA,NA,202.0473559368616,0.7272727272727273
209,2011,5.501456714066217,0.3181818181818182,NA,NA,0.13272513121132432,0.4772727272727273,NA,NA,166.78910628310197,0.4318181818181818
210,2011,6.134144588271435,0.4090909090909091,NA,NA,0.05014335323436313,0.11363636363636363,NA,NA,163.28346892326113,0.375
211,2011,4.225885206867825,0.045454545454545456,NA,NA,0.05589775801585731,0.1590909090909091,NA,NA,182.7232521692912,0.5568181818181818
212,2011,5.618538442029101,0.3522727272727273,NA,NA,0.08677149542608038,0.26136363636363635,NA,NA,161.80653136924465,0.3522727272727273
