SA2_MAIN16,Year,WB,rsWB
101021007,2011,8.379396161997911e-4,0.31993006993006995
101021008,2011,5.370759469138882e-4,0.29632867132867136
101021009,2011,0,4.3706293706293706e-4
101021010,2011,0,4.3706293706293706e-4
101021011,2011,0.05396563091827999,0.8833041958041958
101021012,2011,0.00557445660143605,0.5611888111888111
101031013,2011,0.0019699268526982656,0.41083916083916083
101031014,2011,2.894726717335885e-4,0.2757867132867133
101031015,2011,0.023789570856073767,0.7958916083916084
101031016,2011,0.04158534731976299,0.8597027972027972
101041017,2011,0.014391693903415964,0.729458041958042
101041018,2011,0.004759843696312522,0.5380244755244755
101041019,2011,0.05057490091404424,0.8784965034965035
101041020,2011,0.0013905962160839825,0.36713286713286714
101041021,2011,0.01836356064777196,0.763986013986014
101041022,2011,4.33141734755183e-4,0.2867132867132867
101041023,2011,0.008173915308125664,0.6298076923076923
101041024,2011,0.007008077670951976,0.6013986013986014
101041025,2011,0.00581729389040632,0.5677447552447552
101041026,2011,0.05649919048071715,0.8876748251748252
101041027,2011,0.014503618204638366,0.7312062937062938
101051539,2011,0.0075921054079748935,0.6153846153846154
101051540,2011,0.025594424740931362,0.805506993006993
101061541,2011,0.0047188110246093595,0.5358391608391608
101061542,2011,0.010003404254056571,0.6691433566433567
101061543,2011,0.0010256972641235042,0.3409090909090909
101061544,2011,0.009134058824458285,0.6569055944055944
102011028,2011,0.15272353707764608,0.9431818181818182
102011029,2011,0.01320650585401051,0.7145979020979021
102011030,2011,0.00754198694156804,0.6136363636363636
102011031,2011,0.0030331163683801152,0.4768356643356643
102011032,2011,0.014376007527807573,0.728583916083916
102011033,2011,0.0017305991162131667,0.3929195804195804
102011034,2011,0.027091252639049684,0.8125
102011035,2011,8.925984278714622e-4,0.32736013986013984
102011036,2011,3.3620403237898225e-4,0.27884615384615385
102011037,2011,0.30993788543167816,0.9641608391608392
102011038,2011,0.0010485756197014162,0.34178321678321677
102011039,2011,0.09319043020432614,0.9200174825174825
102011040,2011,5.945589740640424e-4,0.30113636363636365
102011041,2011,0.05961747912336425,0.8924825174825175
102011042,2011,0.12146272285209657,0.9326923076923077
102011043,2011,0,4.3706293706293706e-4
102021044,2011,0,4.3706293706293706e-4
102021045,2011,0.6213686810167248,0.9746503496503497
102021046,2011,0.8608221644090551,0.9812062937062938
102021047,2011,0.004438977841410359,0.5292832167832168
102021048,2011,0,4.3706293706293706e-4
102021049,2011,8.777527042718564e-4,0.32604895104895104
102021050,2011,3.4550644698248583,0.9938811188811189
102021051,2011,3.286033397866178e-5,0.2652972027972028
102021052,2011,12.054943328257655,0.9995629370629371
102021053,2011,0,4.3706293706293706e-4
102021054,2011,0,4.3706293706293706e-4
102021055,2011,0.04675280281346566,0.8706293706293706
102021056,2011,0.003176734709792984,0.48426573426573427
102021057,2011,0.0249857676258006,0.8028846153846154
103011058,2011,3.39946195494066e-4,0.27928321678321677
103011059,2011,0.0016416981674022937,0.38767482517482516
103011060,2011,0.014560439068420972,0.7316433566433567
103011061,2011,0.0015130959061105665,0.3745629370629371
103021062,2011,0.007601591499135143,0.6166958041958042
103021063,2011,0.0052048756483871516,0.5515734265734266
103021064,2011,0.017601378918288037,0.7583041958041958
103021065,2011,0.05081155323813396,0.8793706293706294
103021066,2011,0.048298061344401844,0.8728146853146853
103021067,2011,0.0012007174555081835,0.354020979020979
103021068,2011,9.118632284606657e-4,0.3299825174825175
103021069,2011,0.02204598341162779,0.7862762237762237
103031070,2011,0.017127189926083454,0.7539335664335665
103031071,2011,0.0027358528392787637,0.4567307692307692
103031072,2011,0.002475514721492188,0.4431818181818182
103031073,2011,0.007049668580509426,0.6022727272727273
103031074,2011,0.01189167384320918,0.6971153846153846
103031075,2011,9.060829521024032e-5,0.26704545454545453
103041076,2011,0.0077092275237166,0.6188811188811189
103041077,2011,0.06328782305956288,0.8977272727272727
103041078,2011,0.0026378669341637247,0.4519230769230769
103041079,2011,0.001651750435282003,0.388986013986014
104011080,2011,0.013664184173706568,0.7207167832167832
104011081,2011,0.008416666314806023,0.6359265734265734
104011082,2011,0.008923425815925827,0.6503496503496503
104021083,2011,6.992674227910963e-4,0.3076923076923077
104021084,2011,0.01141947462512035,0.6905594405594405
104021085,2011,0.01804535014311051,0.7609265734265734
104021086,2011,0.001124936965472958,0.3479020979020979
104021087,2011,3.7040851682093893e-4,0.28190559440559443
104021088,2011,0.002231836972756443,0.43006993006993005
104021089,2011,0.0029657452129958468,0.4742132867132867
104021090,2011,0.005436409823600564,0.5581293706293706
104021091,2011,0.004315584990517396,0.5244755244755245
105011092,2011,0.02055752474481901,0.7784090909090909
105011093,2011,0.0017104235633010091,0.39073426573426573
105011094,2011,0.002950519447092654,0.47246503496503495
105011095,2011,0.0025148765525557135,0.4458041958041958
105011096,2011,0.009470000803295967,0.659965034965035
105021097,2011,0.002935514142895813,0.46984265734265734
105021098,2011,0.017359227037927725,0.7552447552447552
105031099,2011,2.2967285353158145e-4,0.2731643356643357
105031100,2011,0.009058744019760444,0.6542832167832168
105031101,2011,0.01784152534021035,0.7596153846153846
105031102,2011,0.022106831005406512,0.7867132867132867
105031103,2011,0.0019463461911081797,0.4090909090909091
105031104,2011,0.0010247404938094136,0.34047202797202797
105031105,2011,0.007258967898523086,0.6057692307692307
105031106,2011,0.02108993405277865,0.7819055944055944
106011107,2011,0.009822217388035693,0.6656468531468531
106011108,2011,0.0062335171196851065,0.5804195804195804
106011109,2011,0.0021057080694855406,0.42176573426573427
106011110,2011,0.002702224107583506,0.4562937062937063
