SA3_CODE16,Year,AST,rsAST,COPD,rsCOPD,RESP,rsRESP
21005,2011,NA,NA,NA,NA,NA,NA
21101,2011,NA,NA,NA,NA,NA,NA
21102,2011,NA,NA,NA,NA,NA,NA
21103,2011,NA,NA,NA,NA,NA,NA
21104,2011,NA,NA,NA,NA,NA,NA
21105,2011,NA,NA,NA,NA,NA,NA
21201,2011,NA,NA,NA,NA,NA,NA
21202,2011,NA,NA,NA,NA,NA,NA
21203,2011,NA,NA,NA,NA,NA,NA
21204,2011,NA,NA,NA,NA,NA,NA
21205,2011,NA,NA,NA,NA,NA,NA
21301,2011,NA,NA,NA,NA,NA,NA
21302,2011,NA,NA,NA,NA,NA,NA
21303,2011,NA,NA,NA,NA,NA,NA
21304,2011,NA,NA,NA,NA,NA,NA
21305,2011,NA,NA,NA,NA,NA,NA
21401,2011,NA,NA,NA,NA,NA,NA
21402,2011,NA,NA,NA,NA,NA,NA
21501,2011,NA,NA,NA,NA,NA,NA
21502,2011,NA,NA,NA,NA,NA,NA
21503,2011,NA,NA,NA,NA,NA,NA
21601,2011,NA,NA,NA,NA,NA,NA
21602,2011,NA,NA,NA,NA,NA,NA
21603,2011,NA,NA,NA,NA,NA,NA
21701,2011,NA,NA,NA,NA,NA,NA
21703,2011,NA,NA,NA,NA,NA,NA
21704,2011,NA,NA,NA,NA,NA,NA
30101,2011,NA,NA,NA,NA,NA,NA
30102,2011,NA,NA,NA,NA,NA,NA
30103,2011,NA,NA,NA,NA,NA,NA
30201,2011,NA,NA,NA,NA,NA,NA
30202,2011,NA,NA,NA,NA,NA,NA
30203,2011,NA,NA,NA,NA,NA,NA
30204,2011,NA,NA,NA,NA,NA,NA
30301,2011,NA,NA,NA,NA,NA,NA
30302,2011,NA,NA,NA,NA,NA,NA
30303,2011,NA,NA,NA,NA,NA,NA
30304,2011,NA,NA,NA,NA,NA,NA
30305,2011,NA,NA,NA,NA,NA,NA
30306,2011,NA,NA,NA,NA,NA,NA
30401,2011,NA,NA,NA,NA,NA,NA
30402,2011,NA,NA,NA,NA,NA,NA
30403,2011,NA,NA,NA,NA,NA,NA
30404,2011,NA,NA,NA,NA,NA,NA
30501,2011,NA,NA,NA,NA,NA,NA
30502,2011,NA,NA,NA,NA,NA,NA
30503,2011,NA,NA,NA,NA,NA,NA
30504,2011,NA,NA,NA,NA,NA,NA
30601,2011,NA,NA,NA,NA,NA,NA
30602,2011,NA,NA,NA,NA,NA,NA
30603,2011,NA,NA,NA,NA,NA,NA
30604,2011,NA,NA,NA,NA,NA,NA
30605,2011,NA,NA,NA,NA,NA,NA
30701,2011,NA,NA,NA,NA,NA,NA
30702,2011,NA,NA,NA,NA,NA,NA
30703,2011,NA,NA,NA,NA,NA,NA
30801,2011,NA,NA,NA,NA,NA,NA
30803,2011,NA,NA,NA,NA,NA,NA
30804,2011,NA,NA,NA,NA,NA,NA
30805,2011,NA,NA,NA,NA,NA,NA
30901,2011,NA,NA,NA,NA,NA,NA
30902,2011,NA,NA,NA,NA,NA,NA
30903,2011,NA,NA,NA,NA,NA,NA
30904,2011,NA,NA,NA,NA,NA,NA
30905,2011,NA,NA,NA,NA,NA,NA
30906,2011,NA,NA,NA,NA,NA,NA
30907,2011,NA,NA,NA,NA,NA,NA
30908,2011,NA,NA,NA,NA,NA,NA
30909,2011,NA,NA,NA,NA,NA,NA
30910,2011,NA,NA,NA,NA,NA,NA
31001,2011,NA,NA,NA,NA,NA,NA
31002,2011,NA,NA,NA,NA,NA,NA
31003,2011,NA,NA,NA,NA,NA,NA
31004,2011,NA,NA,NA,NA,NA,NA
31101,2011,NA,NA,NA,NA,NA,NA
31102,2011,NA,NA,NA,NA,NA,NA
31103,2011,NA,NA,NA,NA,NA,NA
31104,2011,NA,NA,NA,NA,NA,NA
31105,2011,NA,NA,NA,NA,NA,NA
31106,2011,NA,NA,NA,NA,NA,NA
31201,2011,NA,NA,NA,NA,NA,NA
31202,2011,NA,NA,NA,NA,NA,NA
31203,2011,NA,NA,NA,NA,NA,NA
31301,2011,NA,NA,NA,NA,NA,NA
31302,2011,NA,NA,NA,NA,NA,NA
31303,2011,NA,NA,NA,NA,NA,NA
31304,2011,NA,NA,NA,NA,NA,NA
31305,2011,NA,NA,NA,NA,NA,NA
31401,2011,NA,NA,NA,NA,NA,NA
31402,2011,NA,NA,NA,NA,NA,NA
31403,2011,NA,NA,NA,NA,NA,NA
31501,2011,NA,NA,NA,NA,NA,NA
31502,2011,NA,NA,NA,NA,NA,NA
31503,2011,NA,NA,NA,NA,NA,NA
31601,2011,NA,NA,NA,NA,NA,NA
31602,2011,NA,NA,NA,NA,NA,NA
31603,2011,NA,NA,NA,NA,NA,NA
31605,2011,NA,NA,NA,NA,NA,NA
31606,2011,NA,NA,NA,NA,NA,NA
31607,2011,NA,NA,NA,NA,NA,NA
31608,2011,NA,NA,NA,NA,NA,NA
31701,2011,NA,NA,NA,NA,NA,NA
31801,2011,NA,NA,NA,NA,NA,NA
31802,2011,NA,NA,NA,NA,NA,NA
31901,2011,NA,NA,NA,NA,NA,NA
31902,2011,NA,NA,NA,NA,NA,NA
31903,2011,NA,NA,NA,NA,NA,NA
31904,2011,NA,NA,NA,NA,NA,NA
31905,2011,NA,NA,NA,NA,NA,NA
40101,2011,NA,NA,NA,NA,NA,NA
40102,2011,NA,NA,NA,NA,NA,NA
40103,2011,NA,NA,NA,NA,NA,NA
40104,2011,NA,NA,NA,NA,NA,NA
40105,2011,NA,NA,NA,NA,NA,NA
40106,2011,NA,NA,NA,NA,NA,NA
40107,2011,NA,NA,NA,NA,NA,NA
40201,2011,NA,NA,NA,NA,NA,NA
40202,2011,NA,NA,NA,NA,NA,NA
40203,2011,NA,NA,NA,NA,NA,NA
40204,2011,NA,NA,NA,NA,NA,NA
40205,2011,NA,NA,NA,NA,NA,NA
40301,2011,NA,NA,NA,NA,NA,NA
40302,2011,NA,NA,NA,NA,NA,NA
40303,2011,NA,NA,NA,NA,NA,NA
40304,2011,NA,NA,NA,NA,NA,NA
40401,2011,NA,NA,NA,NA,NA,NA
40402,2011,NA,NA,NA,NA,NA,NA
40403,2011,NA,NA,NA,NA,NA,NA
40501,2011,NA,NA,NA,NA,NA,NA
40502,2011,NA,NA,NA,NA,NA,NA
40503,2011,NA,NA,NA,NA,NA,NA
40504,2011,NA,NA,NA,NA,NA,NA
40601,2011,NA,NA,NA,NA,NA,NA
40602,2011,NA,NA,NA,NA,NA,NA
40701,2011,NA,NA,NA,NA,NA,NA
40702,2011,NA,NA,NA,NA,NA,NA
40703,2011,NA,NA,NA,NA,NA,NA
50101,2011,NA,NA,NA,NA,NA,NA
50102,2011,NA,NA,NA,NA,NA,NA
50103,2011,NA,NA,NA,NA,NA,NA
50201,2011,NA,NA,NA,NA,NA,NA
50301,2011,NA,NA,NA,NA,NA,NA
50302,2011,NA,NA,NA,NA,NA,NA
50401,2011,NA,NA,NA,NA,NA,NA
50402,2011,NA,NA,NA,NA,NA,NA
50403,2011,NA,NA,NA,NA,NA,NA
50501,2011,NA,NA,NA,NA,NA,NA
50502,2011,NA,NA,NA,NA,NA,NA
50503,2011,NA,NA,NA,NA,NA,NA
50601,2011,NA,NA,NA,NA,NA,NA
50602,2011,NA,NA,NA,NA,NA,NA
50603,2011,NA,NA,NA,NA,NA,NA
50604,2011,NA,NA,NA,NA,NA,NA
50605,2011,NA,NA,NA,NA,NA,NA
50606,2011,NA,NA,NA,NA,NA,NA
50607,2011,NA,NA,NA,NA,NA,NA
50701,2011,NA,NA,NA,NA,NA,NA
50702,2011,NA,NA,NA,NA,NA,NA
50703,2011,NA,NA,NA,NA,NA,NA
50704,2011,NA,NA,NA,NA,NA,NA
50705,2011,NA,NA,NA,NA,NA,NA
50901,2011,NA,NA,NA,NA,NA,NA
50902,2011,NA,NA,NA,NA,NA,NA
50903,2011,NA,NA,NA,NA,NA,NA
51001,2011,NA,NA,NA,NA,NA,NA
51002,2011,NA,NA,NA,NA,NA,NA
51003,2011,NA,NA,NA,NA,NA,NA
51101,2011,NA,NA,NA,NA,NA,NA
51102,2011,NA,NA,NA,NA,NA,NA
51103,2011,NA,NA,NA,NA,NA,NA
51104,2011,NA,NA,NA,NA,NA,NA
60101,2011,NA,NA,NA,NA,NA,NA
60102,2011,NA,NA,NA,NA,NA,NA
