SA4_CODE16,Year,PD,rsPD,MI,rsMI,LI,rsLI,HS,rsHS,UR,rsUR,ELD,rsELD,INF,rsINF,SP,rsSP,UC,rsUC,ASS,rsASS,WD,rsWD,LA,rsLA,SL,rsSL,IND,rsIND,MH,rsMH,CD,rsCD,RD,rsRD,MP,rsMP,ALC,rsALC,OB,rsOB,OW,rsOW,SMO,rsSMO
101,2011,NA,NA,NA,NA,NA,NA,60.74814814814815,0.5681818181818182,4.926923076923077,0.3409090909090909,NA,NA,NA,NA,10.391856346818033,0.48863636363636365,26.46923076923077,0.1590909090909091,5.203703703703703,0.6590909090909091,NA,NA,27.69594797578486,0.8181818181818182,5.319230769230769,0.3522727272727273,3.2115384615384617,0.6818181818181818,NA,NA,NA,NA,24.98076923076923,0.3181818181818182,31.51851851851852,0.3181818181818182,NA,NA,NA,NA,NA,NA,NA,NA
102,2011,NA,NA,NA,NA,NA,NA,63.27333333333333,0.6704545454545454,6.6466666666666665,0.7386363636363636,NA,NA,NA,NA,12.369288267903755,0.8409090909090909,29.92,0.7840909090909091,5.316666666666666,0.7045454545454546,NA,NA,24.600302768371282,0.5227272727272727,4.72,0.3181818181818182,2.763333333333333,0.6363636363636364,NA,NA,NA,NA,24.826666666666668,0.3068181818181818,36.916666666666664,0.6931818181818182,NA,NA,NA,NA,NA,NA,NA,NA
103,2011,NA,NA,NA,NA,NA,NA,69.07142857142857,0.875,5.295238095238095,0.48863636363636365,NA,NA,NA,NA,10.71954350995232,0.5795454545454546,28.104761904761904,0.4659090909090909,5.461904761904762,0.7727272727272727,NA,NA,27.606452928046146,0.8068181818181818,2.5476190476190474,0.10227272727272728,5.357142857142857,0.8636363636363636,NA,NA,NA,NA,25.228571428571428,0.3409090909090909,30.366666666666667,0.25,NA,NA,NA,NA,NA,NA,NA,NA
104,2011,NA,NA,NA,NA,NA,NA,66.00833333333334,0.7272727272727273,8.375,0.9659090909090909,NA,NA,NA,NA,13.326636501580758,0.9090909090909091,27.15,0.3068181818181818,6,0.8977272727272727,NA,NA,26.378014064865262,0.6931818181818182,4.033333333333333,0.2159090909090909,4.075,0.7840909090909091,NA,NA,NA,NA,27.05,0.5227272727272727,28.875,0.1590909090909091,NA,NA,NA,NA,NA,NA,NA,NA
105,2011,NA,NA,NA,NA,NA,NA,71.07333333333334,0.9545454545454546,6.42,0.7272727272727273,NA,NA,NA,NA,13.653225160002295,0.9431818181818182,27.546666666666667,0.36363636363636365,5.113333333333333,0.625,NA,NA,28.9621402779667,0.9204545454545454,2.2933333333333334,0.06818181818181818,18.186666666666667,0.9545454545454546,NA,NA,NA,NA,30.85333333333333,0.7159090909090909,26.4,0.09090909090909091,NA,NA,NA,NA,NA,NA,NA,NA
106,2011,NA,NA,NA,NA,NA,NA,69.26086956521739,0.8863636363636364,5.165217391304348,0.4659090909090909,NA,NA,NA,NA,10.851144746968822,0.6022727272727273,31.09130434782609,0.8977272727272727,5.008695652173913,0.5909090909090909,NA,NA,22.524227369858774,0.3522727272727273,2.4434782608695653,0.09090909090909091,3.6956521739130435,0.7613636363636364,NA,NA,NA,NA,25.1,0.32954545454545453,36.19130434782609,0.6477272727272727,NA,NA,NA,NA,NA,NA,NA,NA
107,2011,NA,NA,NA,NA,NA,NA,61.404347826086955,0.5795454545454546,7.8,0.9204545454545454,NA,NA,NA,NA,11.04544481925058,0.625,30.213636363636365,0.8295454545454546,5.704545454545455,0.8295454545454546,NA,NA,23.567444654228577,0.4431818181818182,13.682608695652174,0.6022727272727273,2.3,0.5681818181818182,NA,NA,NA,NA,29.85217391304348,0.6931818181818182,33.527272727272724,0.48863636363636365,NA,NA,NA,NA,NA,NA,NA,NA
108,2011,NA,NA,NA,NA,NA,NA,71.68095238095238,0.9886363636363636,8.047619047619047,0.9431818181818182,NA,NA,NA,NA,12.431918058243202,0.8522727272727273,23.81,0.056818181818181816,7.252380952380952,0.9886363636363636,NA,NA,28.47618496535579,0.875,2.1619047619047618,0.03409090909090909,5.042857142857143,0.8409090909090909,NA,NA,NA,NA,25.952380952380953,0.375,26.12857142857143,0.07954545454545454,NA,NA,NA,NA,NA,NA,NA,NA
109,2011,NA,NA,NA,NA,NA,NA,68.49285714285715,0.8522727272727273,4.814285714285714,0.26136363636363635,NA,NA,NA,NA,10.311034833735118,0.45454545454545453,26.84285714285714,0.23863636363636365,5.235714285714286,0.6704545454545454,NA,NA,28.872821387495232,0.9090909090909091,3.392857142857143,0.1590909090909091,3.392857142857143,0.7272727272727273,NA,NA,NA,NA,26.785714285714285,0.4772727272727273,30.77857142857143,0.2840909090909091,NA,NA,NA,NA,NA,NA,NA,NA
110,2011,NA,NA,NA,NA,NA,NA,68.685,0.8636363636363636,6.15,0.6931818181818182,NA,NA,NA,NA,11.906926362635474,0.7954545454545454,27.57,0.375,5.3,0.6931818181818182,NA,NA,27.23319137986399,0.7613636363636364,2.01,0.011363636363636364,9.65,0.9090909090909091,NA,NA,NA,NA,29.285,0.6477272727272727,27.72,0.11363636363636363,NA,NA,NA,NA,NA,NA,NA,NA
111,2011,NA,NA,NA,NA,NA,NA,62.37586206896552,0.6022727272727273,5.755172413793104,0.6022727272727273,NA,NA,NA,NA,11.793973536815768,0.7840909090909091,28.917241379310344,0.6590909090909091,6.224137931034483,0.9431818181818182,NA,NA,26.333883154819706,0.6704545454545454,5.410344827586207,0.375,2.9793103448275864,0.6590909090909091,NA,NA,NA,NA,28.523333333333333,0.5909090909090909,34.11666666666667,0.5454545454545454,NA,NA,NA,NA,NA,NA,NA,NA
