LGA_CODE16,Year,PD,rsPD,MI,rsMI,LI,rsLI,HS,rsHS,UR,rsUR,ELD,rsELD,INF,rsINF,SP,rsSP,UC,rsUC,ASS,rsASS,WD,rsWD,LA,rsLA,SL,rsSL,IND,rsIND,MH,rsMH,CD,rsCD,RD,rsRD,MP,rsMP,ALC,rsALC,OB,rsOB,OW,rsOW,SMO,rsSMO
10050,2011,NA,NA,NA,NA,NA,NA,61.4,0.3525046382189239,5.8,0.6766355140186916,NA,NA,NA,NA,13.05406721870434,0.8277153558052435,28.1,0.5210727969348659,5,0.6003717472118959,NA,NA,29.98871998710856,0.7532467532467533,5.3,0.5910780669144982,2.3,0.4197761194029851,NA,NA,NA,NA,32.7,0.6975881261595547,34.4,0.7615384615384615,19.77975368369061,0.5330882352941176,36.22168063218248,0.7591911764705882,33.44908330306275,0.23897058823529413,17.94690904777487,0.36213235294117646
10130,2011,NA,NA,NA,NA,NA,NA,51.9,0.16883116883116883,7.2,0.8299065420560747,NA,NA,NA,NA,13.27932880081007,0.8389513108614233,25.3,0.2260536398467433,4.6,0.5055762081784386,NA,NA,28.49019607843137,0.6326530612244898,5.6,0.6096654275092936,6.8,0.7406716417910447,NA,NA,NA,NA,33.8,0.7346938775510204,27.2,0.37884615384615383,18.318768753858738,0.35661764705882354,33.52194886800157,0.5735294117647058,33.08574002353074,0.1875,15.740280024879734,0.2113970588235294
10250,2011,NA,NA,NA,NA,NA,NA,61.5,0.35435992578849723,6.3,0.7514018691588785,NA,NA,NA,NA,11.98648895380683,0.7471910112359551,26.9,0.3850574712643678,5.8,0.7676579925650557,NA,NA,27.31294479707636,0.5213358070500927,3.3,0.4107806691449814,3.1,0.5223880597014925,NA,NA,NA,NA,29.2,0.5454545454545454,26.7,0.36153846153846153,22.927044590593216,0.8731617647058824,30.64616147589671,0.3492647058823529,33.58536929055348,0.27389705882352944,17.23351118562582,0.29044117647058826
10300,2011,NA,NA,NA,NA,NA,NA,73.3,0.8515769944341373,4.3,0.30654205607476637,NA,NA,NA,NA,9.475465313028765,0.44569288389513106,26.3,0.31992337164750956,4.8,0.5408921933085502,NA,NA,26.93236714975845,0.4897959183673469,7.7,0.6784386617100372,6.8,0.7406716417910447,NA,NA,NA,NA,29.2,0.5454545454545454,26.4,0.35192307692307695,20.091919035585864,0.5716911764705882,39.20879338247669,0.9025735294117647,34.5304266668412,0.5147058823529411,22.552964710609665,0.8658088235294118
10470,2011,NA,NA,NA,NA,NA,NA,59.5,0.3042671614100185,5.3,0.5719626168224299,NA,NA,NA,NA,12.30785102651398,0.7827715355805244,29.5,0.7030651340996169,4.4,0.44423791821561337,NA,NA,25.96470674379439,0.4174397031539889,3.3,0.4107806691449814,4.2,0.6194029850746269,NA,NA,NA,NA,29.7,0.5732838589981447,34.4,0.7615384615384615,20.68856903079918,0.6525735294117647,36.677798933580235,0.7886029411764706,33.9004981756526,0.3400735294117647,17.998470061959566,0.3713235294117647
10550,2011,NA,NA,NA,NA,NA,NA,65.2,0.5102040816326531,5.9,0.697196261682243,NA,NA,NA,NA,11.15688676093976,0.6479400749063671,24.7,0.1839080459770115,5.7,0.7453531598513011,NA,NA,27.33727810650888,0.5287569573283859,2.9,0.3382899628252788,2.8,0.47201492537313433,NA,NA,NA,NA,23.8,0.2912801484230056,28.3,0.425,23.29245561517036,0.8823529411764706,31.323636903394608,0.41911764705882354,33.68962835711805,0.30330882352941174,20.298327549046235,0.6525735294117647
10600,2011,NA,NA,NA,NA,NA,NA,62.9,0.39332096474953615,8,0.8859813084112149,NA,NA,NA,NA,14.91352424156507,0.897003745318352,28.7,0.6111111111111112,5.3,0.6598513011152416,NA,NA,27.57037332800958,0.5528756957328386,3.1,0.3754646840148699,3,0.503731343283582,NA,NA,NA,NA,25.7,0.3784786641929499,26.2,0.3403846153846154,27.525907626831803,0.96875,35.58136350639333,0.7077205882352942,33.418941455668964,0.23529411764705882,19.901148863155637,0.6286764705882353
10650,2011,NA,NA,NA,NA,NA,NA,72.5,0.8181818181818182,4.4,0.34205607476635513,NA,NA,NA,NA,9.186471663619745,0.3951310861423221,24.4,0.15900383141762453,6.2,0.8420074349442379,NA,NA,31.66974738139248,0.8534322820037106,2.2,0.22304832713754646,2,0.3917910447761194,NA,NA,NA,NA,23.1,0.2690166975881262,27.9,0.40384615384615385,21.19197238494666,0.7371323529411765,36.71168926235991,0.7904411764705882,33.999323805667935,0.36580882352941174,20.46110982861202,0.7040441176470589
10750,2011,NA,NA,NA,NA,NA,NA,51.2,0.1614100185528757,7.2,0.8299065420560747,NA,NA,NA,NA,12.81767681161221,0.8146067415730337,31,0.789272030651341,4.6,0.5055762081784386,NA,NA,16.121764756128812,0.04823747680890538,36.9,0.9219330855018587,2.7,0.4626865671641791,NA,NA,NA,NA,30.1,0.5936920222634509,43.6,0.925,11.244495514437526,0.034926470588235295,30.61693360828749,0.3382352941176471,36.5076378106065,0.8272058823529411,17.61365310038661,0.32169117647058826
10800,2011,NA,NA,NA,NA,NA,NA,72.7,0.8293135435992579,3.6,0.16448598130841122,NA,NA,NA,NA,8.34386852085967,0.2940074906367041,28.9,0.6360153256704981,4.9,0.5669144981412639,NA,NA,28.51458885941645,0.640074211502783,1.2,0.031598513011152414,4,0.6026119402985075,NA,NA,NA,NA,21.8,0.18552875695732837,26.7,0.36153846153846153,20.861542798062906,0.6911764705882353,39.96835991839597,0.9283088235294118,34.55297074129128,0.5294117647058824,20.798141644563465,0.7242647058823529
