SA4_CODE16,Year,Month,Week,asrRESP,asrAST,asrCVD,nDeaths
101,2017,09,01,134.428390560676,8.95104832025348,14.5148716754873,NA
101,2017,09,08,127.393153109999,NA,22.0628678736177,NA
101,2017,09,15,125.48933911392,NA,20.4694852697423,NA
101,2017,09,22,122.59942285991,NA,17.118584716768,NA
101,2017,09,29,115.717405882362,9.55939244053864,13.2449206248484,NA
101,2017,10,06,68.2569701495888,NA,21.6080749390515,NA
101,2017,10,13,69.8534820029891,NA,13.3358892868459,NA
101,2017,10,20,71.9420538157801,12.8285627997522,19.5791323565589,NA
101,2017,10,27,67.1242715257198,NA,22.0178753239339,NA
101,2017,11,03,73.9286064470682,9.85913105512246,15.2585501806485,NA
101,2017,11,10,74.6568797219997,NA,19.7339032901744,NA
101,2017,11,17,67.7674684805392,NA,16.0430646179471,NA
101,2017,11,24,68.078900443414,NA,16.053391352855,NA
101,2017,12,01,59.6638073795295,NA,15.4105085945095,NA
101,2017,12,08,72.9998302990982,NA,13.3006654956417,NA
101,2017,12,15,65.0252412891997,NA,15.5110402481323,NA
101,2017,12,22,83.0257067826552,9.64248063221502,16.0076111533968,NA
101,2017,12,29,68.44192698644,8.39480712585646,16.4314729528394,NA
101,2018,01,05,55.7527050814065,NA,17.027735016885,NA
101,2018,01,12,36.7285302710323,NA,21.9458103518364,NA
101,2018,01,19,46.5383385526847,NA,21.8883477390501,NA
101,2018,01,26,51.5740886910407,NA,16.3718873031367,NA
101,2018,02,02,43.7266332337255,NA,16.4095892054019,NA
101,2018,02,09,57.7217422034458,11.9672562944629,19.2899918687558,NA
101,2018,02,16,71.6558376852496,14.5488225897752,18.504501472065,NA
101,2018,02,23,56.9342150821098,NA,17.8089969161714,NA
101,2018,09,01,134.428390560676,8.95104832025348,14.5148716754873,NA
101,2018,09,08,127.393153109999,NA,22.0628678736177,NA
101,2018,09,15,125.48933911392,NA,20.4694852697423,NA
101,2018,09,22,122.59942285991,NA,17.118584716768,NA
101,2018,09,29,115.717405882362,9.55939244053864,13.2449206248484,NA
101,2018,10,06,68.2569701495888,NA,21.6080749390515,NA
101,2018,10,13,69.8534820029891,NA,13.3358892868459,NA
101,2018,10,20,71.9420538157801,12.8285627997522,19.5791323565589,NA
101,2018,10,27,67.1242715257198,NA,22.0178753239339,NA
101,2018,11,03,73.9286064470682,9.85913105512246,15.2585501806485,NA
101,2018,11,10,74.6568797219997,NA,19.7339032901744,NA
101,2018,11,17,67.7674684805392,NA,16.0430646179471,NA
101,2018,11,24,68.078900443414,NA,16.053391352855,NA
101,2018,12,01,59.6638073795295,NA,15.4105085945095,NA
101,2018,12,08,72.9998302990982,NA,13.3006654956417,NA
101,2018,12,15,65.0252412891997,NA,15.5110402481323,NA
101,2018,12,22,83.0257067826552,9.64248063221502,16.0076111533968,NA
101,2018,12,29,68.44192698644,8.39480712585646,16.4314729528394,NA
101,2019,01,05,55.7527050814065,NA,17.027735016885,NA
101,2019,01,12,36.7285302710323,NA,21.9458103518364,NA
101,2019,01,19,46.5383385526847,NA,21.8883477390501,NA
101,2019,01,26,51.5740886910407,NA,16.3718873031367,NA
101,2019,02,02,43.7266332337255,NA,16.4095892054019,NA
101,2019,02,09,57.7217422034458,11.9672562944629,19.2899918687558,NA
101,2019,02,16,71.6558376852496,14.5488225897752,18.504501472065,NA
101,2019,02,23,56.9342150821098,NA,17.8089969161714,NA
101,2019,09,01,134.428390560676,8.95104832025348,14.5148716754873,39
101,2019,09,08,127.393153109999,NA,22.0628678736177,32
101,2019,09,15,125.48933911392,NA,20.4694852697423,29
101,2019,09,22,122.59942285991,NA,17.118584716768,33
101,2019,09,29,115.717405882362,9.55939244053864,13.2449206248484,38
101,2019,10,06,68.2569701495888,NA,21.6080749390515,37
101,2019,10,13,69.8534820029891,NA,13.3358892868459,33
