LGA_CODE16,CHD,Cereb,COPD,Heart,CA,AC
59350,NA,NA,NA,NA,NA,NA
59360,NA,NA,NA,NA,NA,584.25459
59370,NA,NA,NA,NA,NA,506.05787
60210,66.403977,62.372194,39.359119,NA,NA,732.17998
60410,83.521708,42.333694,51.67462,NA,NA,750.13474
60610,72.664993,39.060459,36.930605,NA,NA,654.25598
60810,74.730015,41.831204,35.039023,12.534552,NA,615.75685
61010,NA,NA,NA,NA,NA,524.72651
61210,117.18003,44.112049,NA,NA,NA,765.52354
61410,59.328133,37.82645,29.736422,12.333221,6.2675833,570.31388
61510,87.310546,NA,40.26607,NA,NA,690.10695
61610,64.214833,30.918215,28.971183,10.62125,NA,635.51305
61810,84.546595,NA,35.165521,NA,NA,620.30968
62010,NA,NA,NA,NA,NA,588.34839
62210,93.889648,NA,56.758637,NA,NA,609.32971
62410,55.341657,NA,NA,NA,NA,593.79102
62610,91.258671,36.759809,46.504443,13.650025,8.2419259,657.45549
62810,60.273717,31.961932,19.123773,16.677429,9.4808896,562.74619
63010,76.507759,30.052654,23.348755,NA,NA,602.85094
63210,71.478732,NA,NA,NA,NA,597.15699
63410,NA,NA,NA,NA,NA,542.68135
63610,47.859715,34.615565,17.39366,11.56306,8.7603522,496.90384
63810,54.122312,28.471846,32.958489,NA,NA,532.50265
64010,71.542948,41.085398,40.647399,12.324,9.1218801,687.75174
64210,57.069134,30.030404,27.680996,NA,NA,505.32127
64610,84.155149,29.382874,34.249495,NA,NA,599.84138
64810,60.858936,29.219414,27.874037,NA,NA,579.87329
65010,93.02639,NA,NA,NA,NA,604.31189
65210,NA,NA,NA,NA,NA,617.63299
65410,73.790695,49.339801,42.165916,NA,NA,718.52761
65610,72.553576,NA,NA,NA,NA,804.7063
65810,63.273392,30.489543,30.157539,NA,NA,505.63573
70200,75.908539,31.582374,34.026991,NA,NA,695.04484
70420,202.49301,NA,NA,NA,NA,1587.7398
70540,NA,NA,NA,NA,NA,NA
70620,146.42685,NA,NA,NA,NA,1034.119
70700,NA,NA,NA,NA,NA,NA
71000,65.756989,29.645735,43.261853,NA,NA,627.17857
71300,NA,NA,NA,NA,NA,NA
72200,72.015702,NA,62.750482,NA,NA,742.36385
72300,47.074341,NA,NA,NA,NA,536.65206
72330,NA,NA,NA,NA,NA,970.45631
72800,71.58403,NA,51.120778,NA,NA,677.30797
73600,174.7055,NA,NA,NA,NA,1187.2239
74050,NA,NA,NA,NA,NA,1103.1198
74550,NA,NA,NA,NA,NA,898.94294
74560,NA,NA,NA,NA,NA,NA
74660,162.34047,NA,134.14828,NA,NA,1107.3062
74680,NA,NA,NA,NA,NA,NA
79399,NA,NA,NA,NA,NA,677.07599
89399,49.952486,32.451965,22.693885,7.3063158,10.407233,495.87232
