SA4_CODE16,Year,Month,asrRESP,asrAST,asrCVD,nDeaths
101,2017,09,126.69356504254198,9.086235902539071,18.188350266633464,NA
102,2017,09,82.4962726690543,6.40569877465116,20.0599517719958,NA
103,2017,09,169.70611797130132,14.17677327037633,29.82255153962334,NA
104,2017,09,158.40207546161196,NA,19.95610442955399,NA
105,2017,09,198.74271191576753,19.286886746542866,28.03380216711315,NA
106,2017,09,94.85669812511324,8.46397915380849,29.73708793815629,NA
107,2017,09,67.64149498675488,9.2028562772562,15.210179150846074,NA
108,2017,09,130.47156696991567,11.1572896869193,21.69970781788261,NA
109,2017,09,50.1325119764919,NA,14.2380315482556,NA
110,2017,09,195.82063387299345,13.448274762871064,30.399522303058422,NA
111,2017,09,53.22622875149775,6.45919535677859,14.17317699043786,NA
112,2017,09,119.8312057396613,10.877569960233213,18.570103329092106,NA
113,2017,09,164.26180291071316,15.773710517499417,27.240073021490343,NA
114,2017,09,95.86807982845578,NA,19.151218013195834,NA
115,2017,09,27.312257503240392,NA,10.54200152261296,NA
116,2017,09,52.06418460789652,6.517879351156464,20.454288889607817,NA
117,2017,09,56.69550089386436,NA,15.842905125325897,NA
118,2017,09,47.78272239585355,NA,12.66475982992716,NA
119,2017,09,61.80662532764849,5.042085338737328,16.477478732772806,NA
120,2017,09,39.470635768770435,NA,11.507574206671643,NA
121,2017,09,34.22903050166652,NA,8.681684670750023,NA
122,2017,09,49.19260927723384,NA,13.105934427867803,NA
123,2017,09,64.67798767940245,NA,16.623571680779282,NA
124,2017,09,60.00528179887077,7.795472403493035,18.363564975288593,NA
125,2017,09,48.1384697707973,5.229672798376344,16.217782329333758,NA
126,2017,09,40.78646563527242,NA,10.922602643799031,NA
127,2017,09,52.737497930976126,5.48145273644188,17.55221239208154,NA
128,2017,09,38.604641052473724,NA,15.396290292088253,NA
101,2017,10,76.92180415544887,11.466408483413217,17.99921470390663,NA
102,2017,10,55.98070226582775,8.05456883697697,15.976734599632739,NA
103,2017,10,95.5435250994041,12.997869275095596,24.522683439353738,NA
104,2017,10,84.91420134075778,NA,18.21479422749842,NA
105,2017,10,112.90399797040355,19.1525290052872,30.58957958956229,NA
106,2017,10,64.99807218390463,8.469971754074626,22.062611446421005,NA
107,2017,10,48.08496355028531,7.897228836519754,14.599721520579607,NA
108,2017,10,80.71427430761999,12.8381770998643,19.13081098527399,NA
109,2017,10,39.45757552286221,NA,10.7036029610124,NA
110,2017,10,112.23610863865046,14.631202182206659,26.975872994603975,NA
111,2017,10,41.47743072456874,5.8889499497421705,16.001746465546404,NA
112,2017,10,76.65758504954103,13.312993653207428,16.70053363017443,NA
113,2017,10,95.39543734455852,20.573542795870225,25.391741843805836,NA
114,2017,10,53.49218713442691,NA,17.658720802654013,NA
115,2017,10,20.454423963609607,NA,11.251447883375018,NA
116,2017,10,41.656478659927934,6.252489389593096,17.031329958614162,NA
117,2017,10,40.58666527228582,NA,12.675923210912048,NA
118,2017,10,33.84127383039379,NA,11.39967283271097,NA
119,2017,10,45.93152354208266,4.711087450324458,14.874970254771933,NA
120,2017,10,30.684549254829257,NA,10.086704877987426,NA
121,2017,10,25.188512640874748,4.96534371502322,7.7782090187658985,NA
122,2017,10,36.289097779466054,NA,12.453756389193302,NA
123,2017,10,44.27246528238786,7.14815598937203,15.668508743520851,NA
124,2017,10,46.57333159173523,8.582316153478143,17.417505851398122,NA
125,2017,10,33.60875218327853,7.57847129782515,14.557321524930174,NA
126,2017,10,28.175972232436465,NA,11.222867489266509,NA
127,2017,10,38.10271738950911,5.826509120710171,14.27984712101167,NA
128,2017,10,31.168800732692493,NA,13.434458382453226,NA
101,2017,11,70.84238429008624,9.85913105512246,17.121937224641428,NA
102,2017,11,52.061740763913484,7.666820624668315,17.580590054817552,NA
103,2017,11,87.57422354147974,11.950019567578371,28.564417999556806,NA
104,2017,11,86.24401658614588,NA,21.33855427536825,NA
105,2017,11,93.53780443391904,NA,30.512418579731005,NA
106,2017,11,53.86217816402048,10.20028797070779,24.035641902604215,NA
107,2017,11,43.072601461930795,8.96866340990863,16.582159227372536,NA
108,2017,11,76.88948131420504,11.1583469285388,21.431746062103322,NA
109,2017,11,24.656268734098017,NA,NA,NA
110,2017,11,87.38310523770123,11.869322363108822,28.428284155065583,NA
111,2017,11,36.36537761058833,6.974554897831348,14.357957199527904,NA
112,2017,11,86.84903364268673,14.478235984557509,16.056387544906656,NA
113,2017,11,82.60556907774843,22.742031713249357,24.07677639903935,NA
114,2017,11,51.430581981531674,NA,15.520590933520626,NA
115,2017,11,18.206535513280894,NA,8.352598687944354,NA
116,2017,11,38.19442945968427,6.958013263019185,17.492633482662892,NA
117,2017,11,33.856783408122766,NA,13.03903437869833,NA
118,2017,11,30.46482977988674,NA,12.079442144070025,NA
119,2017,11,40.4068690867044,5.218144503275497,14.232082017223261,NA
120,2017,11,26.674060361981105,NA,11.614036413563698,NA
121,2017,11,25.815826149876187,6.05085097808147,7.6464723176013845,NA
122,2017,11,32.99871098647474,NA,13.958834190154148,NA
123,2017,11,42.51387019523926,7.11887777020813,15.616210738637443,NA
124,2017,11,39.23094101892968,7.764971525397482,17.3059192363133,NA
125,2017,11,33.40607367461226,5.1022431371751695,13.285512151167453,NA
126,2017,11,28.299303720747716,NA,9.773033984261362,NA
127,2017,11,36.408728444670345,5.540407205306655,14.687174178878127,NA
128,2017,11,29.519058600569092,NA,14.289870961640638,NA
101,2017,12,70.01057681331285,9.268178580307453,15.190425719363882,NA
102,2017,12,50.19369497985541,9.34379808994899,17.94329283371379,NA
