LGA_CODE16,Year,WB,rsWB
10050,2011,0.6551923363104736,1
10130,2011,0.006726324460482646,0.43566176470588236
10250,2011,0.0048021482658406195,0.3474264705882353
10300,2011,0.009348658041605527,0.5441176470588235
10470,2011,0.014531685589679053,0.6801470588235294
10550,2011,0.002977839124320893,0.25919117647058826
10600,2011,9.376367563893882e-4,0.12683823529411764
10650,2011,0.017986579743862186,0.7408088235294118
10750,2011,0.023424996487668086,0.8125
10800,2011,0.021427821236305825,0.7904411764705882
10850,2011,0.008292085759810308,0.5110294117647058
10900,2011,0.04969803868489891,0.9393382352941176
10950,2011,6.365198162621413e-4,0.10110294117647059
11100,2011,0.018245476446033568,0.7444852941176471
11150,2011,0.02450787735823183,0.8180147058823529
11200,2011,0.008122122202953988,0.5036764705882353
11250,2011,0.002935514142895813,0.2555147058823529
11300,2011,0,0.001838235294117647
11350,2011,0.002321924158969519,0.2261029411764706
11400,2011,9.44710125177678e-4,0.12867647058823528
11450,2011,0.02062221500928031,0.78125
11500,2011,0.014252805718889336,0.6764705882352942
11520,2011,0.004674377806989456,0.34191176470588236
11570,2011,0.028133214639832073,0.8345588235294118
11600,2011,0.006511303735295541,0.42463235294117646
11650,2011,0.08073641178734044,0.9613970588235294
11700,2011,0.02831572914858712,0.8363970588235294
11720,2011,0.004443342362288225,0.3327205882352941
11730,2011,0.007538884079583136,0.46875
11750,2011,0.0017078944492680264,0.18933823529411764
11800,2011,0.002213536534378016,0.21691176470588236
12000,2011,4.939005505264341e-4,0.08455882352941177
12150,2011,0.001604279788713367,0.17830882352941177
12350,2011,0.019158439346744164,0.7683823529411765
12380,2011,0.0028475362386077285,0.25183823529411764
12700,2011,0.002702224107583506,0.24632352941176472
12730,2011,0.005092266447828883,0.35661764705882354
12750,2011,0.006658616781113153,0.4319852941176471
12850,2011,0.07189229060999693,0.9558823529411765
12870,2011,0.03773474433677743,0.9007352941176471
12900,2011,0.04598242744530876,0.9227941176470589
12930,2011,0.006128382435317921,0.4099264705882353
12950,2011,7.328200797705634e-4,0.10845588235294118
13010,2011,9.609983939093972e-4,0.1323529411764706
13310,2011,0.010260418983772682,0.5569852941176471
13340,2011,0.0409670165689047,0.9154411764705882
13450,2011,0.02960867356249213,0.8474264705882353
13510,2011,0.0035314058964573338,0.2922794117647059
13550,2011,0.028911246459221076,0.84375
13660,2011,0.006574760088411406,0.42830882352941174
13800,2011,0.0039507043972262365,0.31066176470588236
13850,2011,0.013123256417507516,0.6397058823529411
13910,2011,0.007976249054835884,0.4944852941176471
14000,2011,0.0017278801101555923,0.19301470588235295
14100,2011,0.011260159994842369,0.5827205882352942
14170,2011,0.01404808130594074,0.6691176470588235
14200,2011,0.007370924919970776,0.46139705882352944
14300,2011,0.0026960912582950063,0.24448529411764705
14350,2011,0.0068558605902241596,0.4430147058823529
14400,2011,0.0020229833181490825,0.20955882352941177
14500,2011,0.004258954536018274,0.3235294117647059
14550,2011,0.0012380851976480647,0.1488970588235294
14600,2011,0.007758311065150503,0.47794117647058826
14650,2011,0.18495463940326493,0.9834558823529411
14700,2011,0,0.001838235294117647
14750,2011,0.01565995790166557,0.7040441176470589
14850,2011,0.004141088159614539,0.31433823529411764
14870,2011,0.001584711695180816,0.17463235294117646
14900,2011,0.015585174609368561,0.7003676470588235
14920,2011,0.016711258282911062,0.7242647058823529
14950,2011,0.014709206616056372,0.6838235294117647
15050,2011,0.0333470150980046,0.8731617647058824
15240,2011,0.011664890314539739,0.5992647058823529
15270,2011,0.011050074590278892,0.5790441176470589
15300,2011,0.012923921894191094,0.6286764705882353
15350,2011,4.334770584068621e-4,0.07904411764705882
15520,2011,0.028772025238146436,0.8400735294117647
15560,2011,0.00931314579257328,0.5422794117647058
15650,2011,0.006900565461761079,0.44485294117647056
15700,2011,0.0024487143759544883,0.22977941176470587
15750,2011,0.006340763950860619,0.41911764705882354
15800,2011,0.013208524890619092,0.6415441176470589
15850,2011,0.006450255743395308,0.4209558823529412
15900,2011,0.047622880683771074,0.9319852941176471
15950,2011,0.0033380803479007475,0.28308823529411764
15990,2011,0.004555833869598615,0.3400735294117647
16100,2011,0.0012460177739205278,0.15073529411764705
16150,2011,0.014124393697081041,0.6727941176470589
16200,2011,8.928701438886289e-4,0.125
16260,2011,0.009565502905506718,0.5496323529411765
16350,2011,0.03842955703296585,0.9025735294117647
16380,2011,0.0021222454155943155,0.21323529411764705
16400,2011,0.038757289020867634,0.90625
16490,2011,0.02935931603503457,0.8455882352941176
16550,2011,0.005435705228652715,0.375
16610,2011,0.0054795131166030875,0.3786764705882353
16650,2011,0.019386196024934514,0.7738970588235294
16700,2011,0.0024707884795680053,0.23345588235294118
16900,2011,0.0105013673032504,0.5680147058823529
16950,2011,0.0075428153442644854,0.4724264705882353
17000,2011,0.008833412500875961,0.5257352941176471
17040,2011,0.012328745644438047,0.6194852941176471
17080,2011,0.007860179614410028,0.4852941176470588
17100,2011,0.005758589882086084,0.3952205882352941
17150,2011,0.016625856239836236,0.7224264705882353
17200,2011,0.0021267536202662926,0.21507352941176472
17310,2011,0.00722796600572433,0.4540441176470588
17350,2011,6.488633838545528e-4,0.10294117647058823
17400,2011,8.926753159381808e-4,0.12316176470588236
17420,2011,0.006603477399085236,0.43014705882352944
17550,2011,0.010356328812640956,0.5606617647058824
17620,2011,0.0033170337789603134,0.27941176470588236
17640,2011,0.007983806502980985,0.4963235294117647
17650,2011,0.0012836922256749112,0.15441176470588236
17750,2011,0.006805772113197571,0.43933823529411764
17850,2011,4.2165613492828585e-4,0.07720588235294118
