SA2_MAIN16,Year,NV,rsNV,INT,rsINT,HOSP,rsHOSP,GS,rsGS,VI,rsVI
101021007,2011,2.932761087267525,0.2099820143884892,NA,NA,0.26001040041601664,0.8295454545454546,NA,NA,194.131893157959,0.6608391608391608
101021008,2011,6.693399136335596,0.5553057553956835,NA,NA,0.1224889759921607,0.6551573426573427,NA,NA,144.91666730244958,0.2465034965034965
101021009,2011,9.436379163108453,0.7356115107913669,NA,NA,0.09213193292795283,0.5965909090909091,NA,NA,144.91666666666666,0.24562937062937062
101021010,2011,8.587517597372125,0.685251798561151,NA,NA,0.20920502092050208,0.7792832167832168,NA,NA,144.91666666666666,0.24562937062937062
101021011,2011,1.223051409618574,0.05845323741007194,NA,NA,0.0594883997620464,0.5323426573426573,NA,NA,173.80372492472333,0.527534965034965
101021012,2011,2.09757247230733,0.12410071942446044,NA,NA,0,4.3706293706293706e-4,NA,NA,147.84524981180826,0.27928321678321677
101031013,2011,7.692307692307693,0.6312949640287769,NA,NA,0.4158004158004158,0.8907342657342657,NA,NA,185.6264826456706,0.6101398601398601
101031014,2011,10,0.7598920863309353,NA,NA,0.14874312063067083,0.6966783216783217,NA,NA,148.65183575948092,0.30026223776223776
101031015,2011,2.344931921331316,0.14883093525179855,NA,NA,0.3033060357901122,0.8531468531468531,NA,NA,176.216345469157,0.541083916083916
101031016,2011,3.29803328290469,0.256294964028777,NA,NA,0,4.3706293706293706e-4,NA,NA,182.10144805908217,0.5882867132867133
101041017,2011,8.436018957345972,0.677158273381295,NA,NA,0.2607222004953722,0.8304195804195804,NA,NA,231.95442708333348,0.8601398601398601
101041018,2011,4.880849842090152,0.41906474820143885,NA,NA,0.24180872929512756,0.8107517482517482,NA,NA,248.72200775146484,0.9042832167832168
101041019,2011,6.930091185410334,0.5719424460431655,NA,NA,0.12043839576056847,0.6516608391608392,NA,NA,226.55780029296884,0.8343531468531469
101041020,2011,1.986183074265976,0.1137589928057554,NA,NA,0.11406410402646287,0.6402972027972028,NA,NA,224.09085973103842,0.8243006993006993
101041021,2011,4.840032813781789,0.41681654676258995,NA,NA,0.30646644192460926,0.8553321678321678,NA,NA,221.28268051147458,0.8103146853146853
101041022,2011,0,4.496402877697842e-4,NA,NA,37.03703703703704,0.9833916083916084,NA,NA,226.90433756510416,0.8361013986013986
101041023,2011,9.218289085545722,0.7257194244604317,NA,NA,0,4.3706293706293706e-4,NA,NA,233.52341842651376,0.8662587412587412
