SA2_MAIN16,Year,AvgFCTemp,rHist_AvgFCTemp,nAtRisk_FCHeat,nHighRisk_FCHeat
101021007,2000,12.151784761413934,0.125,40,12
101021008,2000,12.787734132293716,0.08333333333333333,43,9
101021009,2000,13.035674621422132,0.08333333333333333,44,9
101021010,2000,12.868442591581967,0.08333333333333333,44,9
101021011,2000,11.487986215519125,0.08333333333333333,38,12
101021012,2000,12.883923051142077,0.08333333333333333,44,9
101031013,2000,11.501079432685792,0.25,46,18
101031014,2000,11.240504148851093,0.20833333333333334,50,15
101031015,2000,10.183494685883879,0.125,45,13
101031016,2000,9.657962633668033,0.125,47,12
101041017,2000,16.00639773060929,0.375,48,21
101041018,2000,16.002652354008198,0.375,48,19
101041019,2000,15.297261860995901,0.2916666666666667,51,16
101041020,2000,14.21940944468989,0.16666666666666666,46,15
101041021,2000,16.113285631674863,0.375,49,16
101041022,2000,13.422431189290984,0.20833333333333334,48,15
101041023,2000,15.013026826329234,0.16666666666666666,43,13
101041024,2000,15.361529690430327,0.2916666666666667,47,18
101041025,2000,15.067690337154371,0.25,42,14
101041026,2000,16.05788603672951,0.375,46,15
101041027,2000,15.862481310096994,0.3333333333333333,48,13
101051539,2000,13.169562161745901,0.16666666666666666,39,11
101051540,2000,12.758353771427595,0.16666666666666666,39,10
101061541,2000,13.769675596892077,0.08333333333333333,43,6
101061542,2000,13.545412779448087,0.125,43,9
101061543,2000,14.213049268714482,0.125,46,7
101061544,2000,14.54886407190164,0.125,48,6
102011028,2000,17.86929634994399,0.20833333333333334,35,12
102011029,2000,17.778310689508196,0.20833333333333334,38,13
102011030,2000,16.941774738371585,0.16666666666666666,38,13
102011031,2000,17.694054503934428,0.20833333333333334,36,13
102011032,2000,17.584105439009562,0.16666666666666666,39,14
102011033,2000,17.247012357505465,0.16666666666666666,39,16
102011034,2000,17.757807367491804,0.20833333333333334,37,13
102011035,2000,17.503202747173496,0.16666666666666666,39,15
102011036,2000,17.551094374968578,0.16666666666666666,37,14
102011037,2000,17.339588123396176,0.16666666666666666,39,15
102011038,2000,17.81699816293989,0.20833333333333334,39,14
102011039,2000,17.87946798740847,0.20833333333333334,35,13
102011040,2000,17.61240682781421,0.20833333333333334,39,15
102011041,2000,17.844280901180326,0.20833333333333334,33,12
102011042,2000,17.51244106696038,0.20833333333333334,39,15
102011043,2000,17.591604930323772,0.16666666666666666,39,15
102021044,2000,17.91357904099317,0.20833333333333334,33,12
102021045,2000,18.141766067304644,0.20833333333333334,32,12
102021046,2000,18.2320814135806,0.20833333333333334,31,12
102021047,2000,17.823675922509562,0.20833333333333334,33,11
102021048,2000,18.09084040076366,0.20833333333333334,32,11
102021049,2000,17.081493174801913,0.16666666666666666,35,14
102021050,2000,18.18421498460519,0.20833333333333334,31,12
102021051,2000,17.222934043703553,0.16666666666666666,35,14
102021052,2000,18.146063160154373,0.20833333333333334,30,13
102021053,2000,18.155293716651638,0.20833333333333334,32,11
102021054,2000,18.236805640871584,0.20833333333333334,30,11
102021055,2000,17.843645006691258,0.20833333333333334,34,11
102021056,2000,18.002142755407103,0.20833333333333334,31,12
102021057,2000,17.987350706495903,0.20833333333333334,33,12
103011058,2000,13.310685876510929,0.08333333333333333,38,1
103011059,2000,13.261447804663934,0.08333333333333333,37,1
103011060,2000,12.83977338162705,0.16666666666666666,40,2
103011061,2000,11.688453577668033,0.16666666666666666,43,8
103021062,2000,17.198602824336067,0.08333333333333333,42,5
103021063,2000,15.84124017947541,0.125,46,4
103021064,2000,15.268105601692623,0.125,48,3
103021065,2000,16.62575839887705,0.125,46,4
103021066,2000,16.065251714838798,0.20833333333333334,50,6
103021067,2000,16.500954835143443,0.125,50,5
103021068,2000,16.85174527270765,0.08333333333333333,46,4
103021069,2000,16.677673913027323,0.08333333333333333,44,7
103031070,2000,12.66707629129235,0.20833333333333334,47,12
103031071,2000,13.319381001163935,0.16666666666666666,45,9
103031072,2000,14.92842922132787,0.08333333333333333,34,3
103031073,2000,14.116130872845629,0.16666666666666666,41,4
103031074,2000,15.126685549448087,0.08333333333333333,35,2
103031075,2000,14.105052703271857,0.16666666666666666,41,9
103041076,2000,12.748586445580601,0.16666666666666666,46,3
103041077,2000,12.436342809031421,0.16666666666666666,42,4
103041078,2000,12.737461064234973,0.16666666666666666,42,3
103041079,2000,14.29902571029918,0.16666666666666666,45,2
104011080,2000,19.61275819624044,0.20833333333333334,28,5
104011081,2000,18.201574558329234,0.20833333333333334,29,5
104011082,2000,19.46606415535246,0.16666666666666666,20,5
104021083,2000,16.875911115346995,0.16666666666666666,29,4
104021084,2000,18.536758377949454,0.125,27,4
104021085,2000,18.62733488739344,0.125,27,4
104021086,2000,17.993010827881147,0.125,27,4
104021087,2000,14.620682913595628,0.125,28,5
104021088,2000,18.540139453371584,0.125,28,5
104021089,2000,18.54659291535929,0.125,28,5
104021090,2000,18.862546931851092,0.25,30,4
104021091,2000,18.81015188509836,0.20833333333333334,27,4
105011092,2000,20.00537364110246,0.125,25,4
105011093,2000,18.407136062534153,0.125,35,5
105011094,2000,18.40059255772541,0.125,25,1
105011095,2000,18.300095021878416,0.041666666666666664,25,1
105011096,2000,19.774252164468578,0.16666666666666666,23,2
105021097,2000,18.74583600984426,0.5,54,17
105021098,2000,19.958658281304643,0.25,43,9
105031099,2000,16.090271701896175,0.041666666666666664,24,1
105031100,2000,16.555124706519127,0.041666666666666664,23,1
105031101,2000,16.676827060624316,0.041666666666666664,22,1
105031102,2000,16.730194024226776,0.041666666666666664,21,1
