STE_CODE16,Year,AvgFCTemp,rHist_AvgFCTemp,nAtRisk_FCHeat,nHighRisk_FCHeat
1,2016,18.168114293018906,0.8333333333333334,66,18
2,2016,15.204556111646104,0.625,56,18
3,2016,22.02981064838394,0.875,57,15
4,2016,16.53636995677149,0.4166666666666667,55,14
5,2016,18.36229450365127,0.125,58,20
6,2016,12.531185648952736,0.875,65,25
7,2016,27.60462597768593,0.9166666666666666,70,14
8,2016,14.139933919572455,0.7083333333333334,66,17
1,2017,18.10595676647534,0.7916666666666666,63,31
2,2017,15.213330125192885,0.6666666666666666,70,20
3,2017,21.966361361467893,0.8333333333333334,71,25
4,2017,16.944900665305305,0.625,63,18
5,2017,18.91399376993915,0.5416666666666666,47,12
6,2017,12.283431454447257,0.6666666666666666,74,19
7,2017,27.108726842500378,0.6666666666666666,44,9
8,2017,13.79529916590725,0.5,65,24
1,2018,17.973542232177934,0.75,67,30
2,2018,15.282360201221415,0.75,63,17
3,2018,21.553483547102264,0.5416666666666666,58,18
4,2018,17.138933706237165,0.7916666666666666,66,21
5,2018,18.73566868677326,0.4166666666666667,34,8
6,2018,12.35849901313952,0.75,55,20
7,2018,27.125249590849457,0.7083333333333334,60,23
8,2018,14.159983056759241,0.75,57,23
1,2019,18.317296770414668,0.875,71,35
2,2019,15.308314957424683,0.7916666666666666,69,29
3,2019,21.944335541791247,0.7916666666666666,87,21
4,2019,17.039920710883404,0.6666666666666666,64,25
5,2019,19.2186974577453,0.625,54,20
6,2019,12.184275861335859,0.5416666666666666,64,23
7,2019,27.07954798776784,0.625,90,35
8,2019,14.526303420149455,0.875,72,38
1,2020,17.730316724468906,0.5833333333333334,51,23
2,2020,14.568894663957058,0.16666666666666666,46,11
3,2020,21.824810800649022,0.7083333333333334,75,28
4,2020,16.22865546648509,0.041666666666666664,38,10
5,2020,19.298702977107386,0.7083333333333334,63,18
6,2020,11.892836913423835,0.25,47,12
7,2020,27.409938959526897,0.875,75,28
8,2020,13.751547818816734,0.4166666666666667,49,16
1,2040,18.593060783591408,0.9166666666666666,70,19
2,2040,16.186355231578972,0.9166666666666666,66,20
3,2040,22.290729058094065,0.9166666666666666,76,31
4,2040,17.727004083904777,0.9166666666666666,59,17
5,2040,20.045698772109745,0.9166666666666666,70,24
6,2040,13.082463614329395,0.9166666666666666,64,28
7,2040,27.389622062505733,0.8333333333333334,76,38
8,2040,14.655610384369815,0.9166666666666666,63,23
1,2060,19.033060783591406,0.9583333333333334,88,26
2,2060,16.62635523157897,0.9583333333333334,73,28
3,2060,22.730729058094063,0.9583333333333334,95,47
4,2060,18.167004083904775,0.9583333333333334,65,22
5,2060,20.485698772109743,0.9583333333333334,80,31
6,2060,13.522463614329395,0.9583333333333334,70,30
7,2060,27.82962206250573,0.9583333333333334,108,54
8,2060,15.095610384369815,0.9583333333333334,69,25
1,2100,19.853060783591406,1,112,43
2,2100,17.44635523157897,1,94,32
3,2100,23.550729058094063,1,135,62
4,2100,18.987004083904775,1,80,26
5,2100,21.305698772109743,1,98,42
6,2100,14.342463614329395,1,100,40
7,2100,28.64962206250573,1,160,102
8,2100,15.915610384369815,1,91,37
