STE_CODE16,Year,AvgFCTemp,rHist_AvgFCTemp,nAtRisk_FCHeat,nHighRisk_FCHeat
1,2000,17.218268053101372,0.16666666666666666,40,12
2,2000,14.855140570856342,0.4583333333333333,53,17
3,2000,20.82930726283401,0.08333333333333333,13,5
4,2000,16.802259220466095,0.5833333333333334,58,26
5,2000,18.677593345414277,0.2916666666666667,40,16
6,2000,12.242136687720055,0.625,50,20
7,2000,26.263251800389853,0.125,16,1
8,2000,13.220030232033016,0.125,42,8
1,2001,17.459002841533533,0.2916666666666667,45,16
2,2001,14.654266401774436,0.2916666666666667,46,17
3,2001,21.287914453561918,0.2916666666666667,44,13
4,2001,16.27527840222154,0.125,48,22
5,2001,18.05846740630239,0.041666666666666664,35,10
6,2001,12.059292630543256,0.375,54,17
7,2001,26.41747422071542,0.20833333333333334,19,2
8,2001,13.429056595623974,0.20833333333333334,48,14
1,2002,17.531794710432678,0.375,37,10
2,2002,14.62411039273284,0.25,36,7
3,2002,21.469804288639178,0.4166666666666667,49,22
4,2002,16.327453022957744,0.20833333333333334,33,12
5,2002,18.706646104872803,0.375,44,13
6,2002,12.022235955408528,0.3333333333333333,38,9
7,2002,26.734984646801998,0.4583333333333333,56,18
8,2002,13.644049251192387,0.375,48,7
1,2003,17.259984847625457,0.20833333333333334,40,12
2,2003,14.489101537968526,0.125,45,18
3,2003,21.184497519300233,0.20833333333333334,33,7
4,2003,16.239150580707093,0.08333333333333333,50,17
5,2003,18.78756683326631,0.4583333333333333,45,15
6,2003,11.932219161854995,0.2916666666666667,50,19
7,2003,26.957398248596977,0.5416666666666666,32,6
8,2003,13.624683311330582,0.2916666666666667,51,18
1,2004,17.57145004447624,0.4166666666666667,47,24
2,2004,14.278965885302735,0.041666666666666664,34,7
3,2004,21.530030195911042,0.5,61,21
4,2004,16.30987678090114,0.16666666666666666,45,9
5,2004,18.63290383802355,0.25,49,17
6,2004,11.452348311906393,0.08333333333333333,32,3
7,2004,26.60801132039749,0.25,44,11
8,2004,13.766517037745194,0.4583333333333333,48,20
1,2005,17.71149118318617,0.5,49,9
2,2005,14.910942067233092,0.5,43,12
3,2005,21.848302385562604,0.75,60,24
4,2005,16.621300491890693,0.5,39,13
5,2005,18.104379237632948,0.08333333333333333,36,11
6,2005,12.169746223778633,0.5,40,11
7,2005,27.27622321828107,0.7916666666666666,51,13
8,2005,13.833820978140533,0.5416666666666666,42,11
1,2006,17.52380839908153,0.3333333333333333,56,17
2,2006,14.467655295885022,0.08333333333333333,41,19
3,2006,21.25139832527367,0.25,51,12
4,2006,16.44407565997207,0.3333333333333333,53,17
5,2006,18.6968085395413,0.3333333333333333,45,10
6,2006,11.422142320577056,0.041666666666666664,33,14
7,2006,26.234968507452425,0.08333333333333333,49,10
8,2006,14.084296799276029,0.6666666666666666,71,25
1,2007,17.726429492899573,0.5416666666666666,49,8
2,2007,15.474244600422969,0.8333333333333334,65,23
3,2007,21.360177188066814,0.375,36,8
4,2007,17.180036675695906,0.8333333333333334,66,19
5,2007,18.618587166451665,0.20833333333333334,41,19
6,2007,12.375117357608433,0.7916666666666666,60,23
7,2007,26.63461153603067,0.2916666666666667,34,5
8,2007,14.356584807088879,0.8333333333333334,64,16
1,2008,16.899599364729436,0.041666666666666664,26,3
2,2008,14.5901049074056,0.20833333333333334,41,16
3,2008,20.902301341027705,0.125,29,6
4,2008,16.39316807638992,0.2916666666666667,50,20
5,2008,18.55567149788452,0.16666666666666666,53,21
6,2008,11.796548988600529,0.125,45,13
7,2008,26.689509838840827,0.3333333333333333,51,9
8,2008,13.345923154537553,0.16666666666666666,33,9
1,2009,17.89965794122141,0.6666666666666666,51,26
2,2009,15.150515171172492,0.5833333333333334,56,21
3,2009,21.622221556570334,0.6666666666666666,51,10
4,2009,17.09738749436887,0.75,56,24
5,2009,18.905112344034087,0.5,55,17
6,2009,12.185494085231984,0.5833333333333334,52,14
7,2009,27.04621593569907,0.5833333333333334,27,5
8,2009,14.334324262345074,0.7916666666666666,68,28
1,2010,17.449920866105334,0.25,49,9
2,2010,14.739846193450845,0.4166666666666667,52,18
3,2010,21.2959312224518,0.3333333333333333,32,4
4,2010,16.371573962175457,0.25,54,16
5,2010,18.995644780595587,0.5833333333333334,70,22
6,2010,12.125097061533328,0.4583333333333333,57,18
7,2010,26.92577922931262,0.5,28,2
8,2010,13.63906317464275,0.3333333333333333,46,17
1,2011,17.193555171543792,0.125,50,16
2,2011,14.669472302829025,0.3333333333333333,46,7
3,2011,20.735903117713782,0.041666666666666664,30,7
4,2011,16.574751198078353,0.4583333333333333,49,10
5,2011,19.643792213622262,0.875,79,30
6,2011,11.88804166702637,0.20833333333333334,41,5
7,2011,25.85798379594243,0.041666666666666664,13,2
8,2011,13.2073160165776,0.08333333333333333,38,10
1,2012,16.997152791728865,0.08333333333333333,25,8
2,2012,14.71828495569788,0.375,47,17
3,2012,20.97190888274795,0.16666666666666666,28,7
4,2012,16.470098039482693,0.375,53,14
5,2012,19.27170607035632,0.6666666666666666,61,25
6,2012,12.117204628758405,0.4166666666666667,59,13
7,2012,26.340434566760155,0.16666666666666666,53,6
8,2012,12.752420830068743,0.041666666666666664,27,5
1,2013,17.84127911224014,0.625,42,14
2,2013,15.24914139409434,0.7083333333333334,56,25
3,2013,21.557060230843923,0.5833333333333334,32,11
4,2013,17.197433787093697,0.875,55,21
5,2013,19.4204291383172,0.8333333333333334,61,21
6,2013,12.308114520013772,0.7083333333333334,54,23
7,2013,27.245595786050938,0.75,46,11
