SA3_CODE16,Year,AvgTemp,rHist_tHeatAvg,rSpat_rHist_tHeatAvg,cSpat_rHist_tHeatAvg,nAtRisk_tHeat,nHighRisk_tHeat,rHist_tHeat,rSpat_rHist_tHeat,cSpat_rHist_tHeat,nHW_EHF,nSHW_EHF,EHFAvg,rSpat_EHFAvg,cSpat_EHFAvg,rHist_tColdAvg,rSpat_rHist_tColdAvg,cSpat_rHist_tColdAvg,nAtRisk_tCold,nHighRisk_tCold,rHist_tCold,rSpat_rHist_tCold,cSpat_rHist_tCold,nCW_ECF,nSCW_ECF,ECFAvg,rSpat_ECFAvg,cSpat_ECFAvg
10102,2000,12.535924228754228,0.09523809523809523,0.08656716417910448,1,43,12,172.19293442836658,0.2916666666666667,2,7,0,1.3831399322154057,0.22321428571428573,2,0.9047619047619048,0.826865671641791,5,76,26,193.80706557163342,0.7142857142857143,4,25,3,2.8569469382953234,0.6220238095238095,4
10103,2000,10.6457602252657,0.19047619047619047,0.3492537313432836,2,49,15,176.4961543475427,0.5803571428571429,3,12,1,5.526353946951413,0.5595238095238095,3,0.8095238095238095,0.5552238805970149,3,73,19,189.5038456524573,0.4255952380952381,3,17,2,1.8647679865809283,0.40476190476190477,3
10104,2000,15.311277491986019,0.38095238095238093,0.6119402985074627,4,52,18,177.0114717768218,0.5863095238095238,3,12,4,4.579734868251077,0.5119047619047619,3,0.6190476190476191,0.3850746268656716,2,68,22,188.9885282231782,0.41964285714285715,3,14,1,1.0050504710895762,0.18154761904761904,1
10105,2000,12.963957966583955,0.19047619047619047,0.3492537313432836,2,40,11,174.24064659105724,0.41964285714285715,3,7,0,2.014084715520367,0.2648809523809524,2,0.8095238095238095,0.5552238805970149,3,69,24,191.7593534089428,0.5863095238095238,3,21,5,3.2901683919004703,0.6696428571428571,4
10106,2000,14.019250429310665,0.14285714285714285,0.1791044776119403,1,48,8,173.83483248598617,0.3898809523809524,2,1,0,0.369839386970284,0.13392857142857142,1,0.8571428571428572,0.6567164179104478,4,70,22,192.16516751401383,0.6160714285714286,4,21,4,3.181781788259195,0.6636904761904762,4
10201,2000,17.595215410441977,0.23809523809523808,0.4507462686567164,3,40,15,174.73106505018902,0.4732142857142857,3,9,2,6.015881886311431,0.5982142857142857,3,0.7619047619047619,0.4298507462686567,3,70,24,191.26893494981098,0.5327380952380952,3,18,3,2.1667564963131407,0.47023809523809523,3
10202,2000,17.932991859679763,0.23809523809523808,0.4507462686567164,3,34,13,175.70381958023725,0.5386904761904762,3,8,2,6.177046647156313,0.6101190476190477,4,0.7619047619047619,0.4298507462686567,3,58,21,190.29618041976275,0.46726190476190477,3,16,3,2.0780953645802316,0.44047619047619047,3
10301,2000,12.77509016016609,0.14285714285714285,0.1791044776119403,1,44,2,172.06387693912137,0.28869047619047616,2,0,0,0,0.002976190476190476,1,0.8571428571428572,0.6567164179104478,4,73,29,193.93612306087863,0.7172619047619048,4,24,4,3.7812029841235644,0.6964285714285714,4
10302,2000,16.378666592510555,0.14285714285714285,0.1791044776119403,1,48,7,174.5967931169339,0.4494047619047619,3,4,0,0.7086464015166026,0.16071428571428573,1,0.8571428571428572,0.6567164179104478,4,65,24,191.4032068830661,0.5565476190476191,3,20,4,3.6046567498085564,0.6904761904761905,4
10303,2000,14.043792606599443,0.19047619047619047,0.3492537313432836,2,43,5,173.6107417546604,0.3541666666666667,2,0,0,0,0.002976190476190476,1,0.8095238095238095,0.5552238805970149,3,63,24,192.3892582453396,0.6517857142857143,4,23,7,4.118245425286995,0.6994047619047619,4
10304,2000,13.055354007257055,0.19047619047619047,0.3492537313432836,2,46,4,173.62690653109112,0.35714285714285715,2,0,0,0,0.002976190476190476,1,0.8095238095238095,0.5552238805970149,3,64,21,192.37309346890888,0.6488095238095238,4,19,5,5.079595188678443,0.8333333333333334,5
10401,2000,19.093465636665844,0.23809523809523808,0.4507462686567164,3,31,5,174.45509060096467,0.42857142857142855,3,2,0,2.03094979709241,0.2708333333333333,2,0.7619047619047619,0.4298507462686567,3,60,24,191.54490939903533,0.5773809523809523,3,18,4,3.0317640101996735,0.6458333333333334,4
10402,2000,17.93479214537986,0.14285714285714285,0.1791044776119403,1,32,5,174.5090600964672,0.4375,3,0,0,0,0.002976190476190476,1,0.8571428571428572,0.6567164179104478,4,65,18,191.4909399035328,0.5684523809523809,3,14,7,6.130213109590674,0.9107142857142857,5
10501,2000,18.977489889518978,0.14285714285714285,0.1791044776119403,1,26,3,170.40933385477774,0.2619047619047619,2,0,0,0,0.002976190476190476,1,0.8571428571428572,0.6567164179104478,4,61,28,195.59066614522226,0.7440476190476191,4,25,5,3.302271762526615,0.6755952380952381,4
10502,2000,19.35224714565799,0.42857142857142855,0.6208955223880597,4,54,15,181.49367748663798,0.7738095238095238,4,8,0,5.613018932450724,0.5684523809523809,3,0.5714285714285714,0.36716417910447763,2,58,16,184.50632251336202,0.23214285714285715,2,7,0,1.019483866371256,0.19047619047619047,1
10503,2000,16.550796063834916,0.047619047619047616,0.0029850746268656717,1,32,1,168.1200625733281,0.20833333333333334,2,0,0,0,0.002976190476190476,1,0.9523809523809523,0.9194029850746268,5,69,28,197.8799374266719,0.7976190476190477,4,26,6,4.610959679599314,0.7619047619047619,4
10601,2000,17.246379423750586,0.19047619047619047,0.3492537313432836,2,42,10,174.85555990092556,0.4791666666666667,3,5,0,4.226606474218272,0.5029761904761905,3,0.8095238095238095,0.5552238805970149,3,69,27,191.14444009907444,0.5267857142857143,3,21,4,2.178765784920175,0.4791666666666667,3
10602,2000,17.85480168330906,0.14285714285714285,0.1791044776119403,1,35,11,173.0877330204667,0.33035714285714285,2,6,1,6.007080053397641,0.5952380952380952,3,0.8571428571428572,0.6567164179104478,4,70,27,192.9122669795333,0.6755952380952381,4,22,2,1.6282937276311407,0.38095238095238093,2
10603,2000,18.11466099343944,0.09523809523809523,0.08656716417910448,1,31,14,168.03180810846044,0.20238095238095238,2,9,2,6.9084294678000795,0.6369047619047619,4,0.9047619047619048,0.826865671641791,5,74,31,197.96819189153956,0.8035714285714286,5,27,5,1.6860986489381102,0.3898809523809524,2
10604,2000,16.305832750717745,0.14285714285714285,0.1791044776119403,1,41,5,172.5593794811628,0.3005952380952381,2,0,0,0,0.002976190476190476,1,0.8571428571428572,0.6567164179104478,4,70,30,193.4406205188372,0.7053571428571429,4,27,6,2.7035581705933525,0.6011904761904762,4
10701,2000,17.086813856646202,0.23809523809523808,0.4507462686567164,3,52,16,173.40464085516882,0.34226190476190477,2,11,1,3.371306799422554,0.4255952380952381,3,0.7619047619047619,0.4298507462686567,3,71,33,192.59535914483118,0.6636904761904762,4,25,4,1.95410576559874,0.4255952380952381,3
10702,2000,15.325438846004475,0.23809523809523808,0.4507462686567164,3,51,15,174.19528092817103,0.41369047619047616,3,8,0,4.731672140721669,0.5238095238095238,3,0.7619047619047619,0.4298507462686567,3,70,27,191.80471907182897,0.5922619047619048,3,22,6,3.038437864739957,0.6488095238095238,4
10703,2000,16.90480402574106,0.19047619047619047,0.3492537313432836,2,49,18,171.5038456524573,0.27976190476190477,2,11,1,3.3152187291177957,0.4107142857142857,3,0.8095238095238095,0.5552238805970149,3,74,36,194.4961543475427,0.7261904761904762,4,26,4,1.9652328762985503,0.42857142857142855,3
10704,2000,16.96148574889683,0.23809523809523808,0.4507462686567164,3,46,15,174.87798201016815,0.48214285714285715,3,10,1,3.819401912242755,0.46130952380952384,3,0.7619047619047619,0.4298507462686567,3,64,26,191.12201798983185,0.5238095238095238,3,21,5,2.4724602464278504,0.5565476190476191,3
